1.4 V,1.6 V,1.7 V,1.8 V,1.9 V,2.0 V,2.1 V,2.15 V,2.2 V
0,0,0,0,0,0,0,0,0
0.0333,0.0073,0.0043,0.0154,0.0235,0.0019,0.005,0.0063,0.0002
0.0445,0.0238,0.0046,0.0233,0.0281,0.0075,0.0133,0.0081,0.0075
0.0894,0.043,0.0084,0.027,0.0291,0.0159,0.0236,0.0099,0.0081
0.1235,0.1089,0.0173,0.0384,0.0344,0.0188,0.0241,0.0102,0.0087
0.1256,0.12,0.0308,0.0452,0.0359,0.0367,0.0368,0.0122,0.0117
0.1805,0.1333,0.0367,0.0626,0.0367,0.0411,0.0408,0.0136,0.0119
0.2462,0.1979,0.0386,0.07,0.0384,0.0423,0.0439,0.0159,0.0119
0.3136,0.1981,0.0469,0.0717,0.0406,0.0425,0.0446,0.0168,0.0135
0.324,0.204,0.0544,0.0763,0.0472,0.0455,0.0446,0.021,0.017
0.3697,0.2402,0.0587,0.0852,0.0477,0.0468,0.0446,0.0257,0.0171
0.4448,0.2498,0.0644,0.097,0.0561,0.0506,0.0463,0.0266,0.0221
0.4802,0.2583,0.0975,0.1284,0.0609,0.0525,0.0479,0.027,0.0222
0.4876,0.26,0.1052,0.1316,0.0613,0.0529,0.0497,0.0279,0.023
0.4876,0.288,0.124,0.1344,0.063,0.0553,0.053,0.0287,0.0236
0.522,0.3099,0.1362,0.1404,0.0647,0.0571,0.057,0.0288,0.0236
0.6266,0.3543,0.1697,0.1422,0.0655,0.0591,0.0632,0.0295,0.0241
0.6422,0.367,0.2116,0.1634,0.0708,0.0595,0.0636,0.0322,0.0258
0.6673,0.3674,0.2364,0.1654,0.073,0.0598,0.0649,0.0353,0.0264
0.7066,0.3768,0.2372,0.1811,0.0756,0.0644,0.0691,0.0392,0.0265
0.7423,0.3843,0.2379,0.194,0.0766,0.0689,0.0715,0.0404,0.0269
0.7682,0.4423,0.2665,0.2385,0.0773,0.0703,0.0723,0.0411,0.0305
0.8339,0.4443,0.276,0.2532,0.0813,0.0709,0.0761,0.0453,0.0308
0.8586,0.4721,0.2842,0.262,0.0869,0.0738,0.0764,0.0455,0.0314
0.8797,0.5027,0.2854,0.3198,0.0887,0.0747,0.0789,0.0481,0.0319
0.9973,0.5526,0.2939,0.3405,0.0895,0.0787,0.0797,0.0491,0.0321
1.0054,0.5667,0.3326,0.3499,0.0901,0.0789,0.0808,0.0514,0.0333
1.0352,0.5677,0.3476,0.3651,0.0909,0.0828,0.0809,0.0516,0.0345
1.0638,0.6018,0.3706,0.4024,0.1005,0.0882,0.0819,0.0519,0.0377
1.1024,0.6269,0.3809,0.4344,0.1085,0.0891,0.084,0.0542,0.0382
1.1434,0.6751,0.3844,0.4405,0.1096,0.0934,0.0843,0.0554,0.0406
1.1468,0.7248,0.3859,0.4849,0.1113,0.1077,0.0855,0.0575,0.0432
1.1615,0.7388,0.3869,0.4869,0.1137,0.1085,0.0874,0.0605,0.0442
1.2472,0.7689,0.3957,0.5129,0.1159,0.1101,0.0876,0.0643,0.0445
1.3834,0.7834,0.3986,0.5436,0.1171,0.1218,0.0921,0.0646,0.0451
1.5409,0.8585,0.4038,0.5436,0.1177,0.1221,0.0925,0.0651,0.0477
