1.4 V,1.6 V,1.7 V,1.8 V,1.9 V,2.0 V,2.1 V,2.15 V,2.2 V
0.0734,0.1726,0.0366,0.0411,0.0151,0.0235,0.0196,0.0032,0.0124
0.1017,0.1825,0.1054,0.0987,0.0429,0.0264,0.0307,0.0169,0.0275
0.1244,0.4166,0.1087,0.1055,0.0679,0.0413,0.037,0.0205,0.0316
0.2218,0.4627,0.1136,0.1615,0.0975,0.0598,0.0527,0.0763,0.0339
0.2966,0.5141,0.1231,0.212,0.0978,0.0647,0.0537,0.0763,0.0371
0.3759,0.6006,0.1692,0.3119,0.1122,0.103,0.0606,0.0773,0.0403
0.4472,0.9369,0.1933,0.3961,0.1654,0.1159,0.0619,0.0784,0.0458
0.4836,1.0247,0.2149,0.5278,0.2041,0.1199,0.0772,0.0787,0.0467
0.6859,1.0724,0.2363,0.5846,0.2326,0.1236,0.0777,0.1017,0.0499
0.7895,1.0913,0.2914,0.7538,0.2827,0.167,0.0783,0.1044,0.0517
0.9377,1.2154,0.6693,0.7545,0.4614,0.1814,0.0984,0.1102,0.0525
0.9861,1.2425,0.6967,0.8005,0.7207,0.1988,0.1023,0.1248,0.0545
1.1375,1.7189,0.732,0.8509,0.8073,0.2166,0.1036,0.1296,0.0766
1.2755,1.7299,0.8611,0.919,1.075,0.3586,0.1103,0.1389,0.0793
1.609,1.7615,1.2306,1.6747,1.7257,0.5342,0.1277,0.1798,0.1009
1.9224,1.8482,1.2471,1.7019,1.8319,0.7833,0.1446,0.1881,0.1433
1.9957,1.9654,1.4895,2.0145,1.8901,1.0125,0.1467,0.2675,0.1473
2.0457,2.7896,1.7184,2.3771,,1.0819,0.1478,0.284,0.164
2.6077,2.8685,,2.4689,,2.4278,0.1603,0.3282,0.1665
2.6821,2.958,,3.0057,,,0.1646,0.4129,0.1835
3.2101,3.1862,,,,,0.1712,1.046,0.2038
3.2428,3.7398,,,,,0.1746,1.7062,0.2494
3.5257,3.7617,,,,,0.1807,2.6512,0.4181
4.14,,,,,,0.1834,,1.4119
4.3628,,,,,,0.1996,,
4.7366,,,,,,0.2026,,
5.0477,,,,,,0.3128,,
5.2484,,,,,,0.3948,,
6.3837,,,,,,0.4914,,
6.5103,,,,,,0.6684,,
6.7855,,,,,,0.6868,,
6.9729,,,,,,3.0999,,
,,,,,,3.1532,,
