2.50E-11 A,3.00E-10 A,4.50E-10 A,7.50E-10 A,2.00E-10 A,6.00E-10 A,9.00E-10 A,1.50E-10 A,5.00E-11 A
5.383,2.8698,4.4358,0.3463,0.3595,0.2461,0.9292,1.1782,0.2153
2.7412,0.5314,5.4765,2.1322,3.7162,4.7459,0.3276,5.1765,5.4386
5.976,0.8144,3.905,0.3414,1.3512,6.4683,1.2824,0.5545,0.2623
0.7491,4.671,3.9932,0.2098,0.996,3.6047,2.9415,5.6991,3.3658
6.4308,0.4181,3.0846,2.6386,2.161,1.5044,1.2922,1.9803,1.8725
7.7039,0.3036,2.0538,0.4208,2.5793,5.5885,1.4643,0.4741,3.1881
0.8518,0.2978,5.0083,1.0619,4.3153,1.0546,2.4086,0.3812,5.4755
5.9815,3.4307,1.7899,0.7981,,0.4176,0.5522,4.881,0.524
0.4263,4.297,0.7028,1.1627,,0.4959,0.3709,5.0483,4.1103
6.8989,0.3389,0.5523,1.3547,,2.4563,1.0884,1.1512,6.2102
5.139,0.4671,1.5614,0.8769,,0.1751,0.187,6.9529,5.4238
2.8737,1.8545,2.1019,1.0687,,2.1925,2.3379,1.8049,5.5626
3.4916,0.35,0.4847,0.649,,3.0452,1.4696,2.2385,0.9136
5.8692,6.1529,4.5127,1.7404,,0.1937,0.9637,6.5727,0.9367
4.8957,1.202,0.5776,0.6853,,2.3369,0.6302,0.9139,3.761
2.5815,2.2512,2.6116,1.2084,,0.2825,0.6039,3.7655,4.4719
7.5541,2.0315,2.6082,0.6669,,1.3856,1.2514,2.0984,2.6868
5.4199,1.3818,0.2336,1.505,,1.3473,0.2771,2.5877,2.4998
9.8819,2.3104,0.8228,0.8582,,2.9007,0.2154,1.6478,8.8912
2.0666,3.9528,2.4441,1.7412,,2.1623,2.5033,5.4434,7.4992
4.2966,1.3253,1.7872,0.8966,,1.1203,0.8295,0.4217,6.5109
2.8728,0.3707,4.9473,2.3925,,0.6377,0.187,4.6622,3.6429
6.4615,2.9795,1.6066,3.7828,,0.3665,0.5029,2.222,0.2278
7.6143,3.8783,0.4733,0.2109,,0.2375,3.4377,0.1983,3.6829
1.9899,1.9519,1.8473,0.2255,,0.5773,0.3893,2.1269,1.4551
2.061,1.6839,2.4354,1.212,,3.4452,2.2501,6.5172,7.1056
9.2075,3.2451,2.1445,0.4167,,0.2632,2.0912,2.0054,2.4288
5.5626,4.8713,0.477,0.2243,,0.3015,0.4148,2.6605,8.7364
2.9834,4.5245,1.0509,1.8042,,1.7684,2.0313,1.9558,3.3932
7.6386,7.9531,3.0646,0.2658,,0.3256,2.3938,4.2197,8.0605
1.4112,1.0564,2.739,1.4116,,0.5965,3.1377,0.8247,0.4774
6.9463,0.1952,1.5682,1.9535,,1.6259,0.3857,1.3418,4.8088
4.1286,4.1975,0.5308,1.5875,,0.2645,0.8531,4.0536,4.6925
1.3508,0.5869,2.716,0.5589,,0.4114,0.1815,6.4723,2.9027
5.1439,0.9195,1.3972,1.2015,,3.1241,0.4324,7.3976,0.5117
8.1993,3.0192,0.478,0.2691,,1.4746,2.7998,7.6048,4.499
1.8837,0.2189,0.2472,2.8069,,0.173,3.858,8.3253,5.5062
2.7555,5.0188,3.1546,0.2007,,1.1697,1.0875,8.8238,0.4256
2.0538,3.9653,0.3276,1.5036,,3.1667,0.3609,2.5577,6.0363
2.4864,3.3611,1.0491,0.485,,0.8781,0.5912,6.9048,7.3808
8.7745,0.8893,0.3995,2.1507,,2.1124,1.2754,3.9209,3.7106
5.8065,4.8322,1.8175,0.5162,,1.6395,0.5656,5.7346,3.0359
4.8932,0.8734,3.4695,0.8227,,0.7085,2.7908,2.85,0.277
3.3452,4.2878,3.713,2.3591,,0.173,0.9931,3.6367,9.3441
9.092,4.197,0.9195,0.5704,,3.4669,0.5582,5.7495,3.7274
8.0393,1.7453,1.0617,3.0478,,3.563,0.4992,7.0067,7.5336
9.4669,5.7678,2.9045,0.3554,,1.2226,0.2894,4.0325,4.0798
2.3819,2.4205,1.6385,3.8046,,2.0514,0.5845,9.7967,3.0623
0.5026,4.0696,0.2814,2.1317,,0.3596,0.5109,5.2281,8.0459
6.1207,0.7768,4.136,3.066,,2.8568,2.5171,6.9372,2.5741
5.8633,2.4507,3.0244,0.189,,1.8651,0.9349,9.0088,0.7343
0.3065,4.3483,1.2168,0.3531,,3.2701,3.1302,3.9435,8.4115
1.0692,4.1345,2.5028,0.5337,,0.7897,1.6555,3.6724,5.7558
5.4783,5.6612,1.0749,0.188,,0.3337,1.0254,3.6053,9.9322
0.2347,0.5474,2.1335,0.2368,,1.6733,0.4204,5.9528,9.2616
8.0532,0.119,2.5983,1.8887,,0.6727,1.7476,4.1786,13.1352
0.8954,5.4566,1.1013,0.261,,0.4727,4.0232,1.2667,3.2079
5.3445,0.4172,5.0643,0.227,,1.4871,2.5367,1.8395,11.4347
1.9544,2.8509,0.4549,3.2762,,0.22,1.9617,2.8091,14.5927
0.6642,4.9704,0.6857,3.5048,,0.8484,0.4459,0.295,1.5449
4.5324,0.4138,0.8442,2.9183,,0.2328,2.4011,0.6073,7.9661
2.1352,1.2414,3.5227,1.9414,,1.2028,0.9297,13.9333,7.0212
4.9718,2.8826,2.2352,0.3431,,1.6965,0.198,0.1332,7.9424
7.0673,0.7038,2.1341,1.3884,,0.6016,1.5469,0.4598,1.6259
2.9567,3.2527,5.6681,0.513,,1.8424,2.2471,12.7149,7.922
7.8707,2.7323,2.8433,1.3036,,0.8821,0.5032,10.0813,4.6676
8.2855,0.7028,3.6788,0.8794,,0.9979,0.7191,8.9708,8.4001
8.0654,0.4451,0.3089,2.0155,,1.8189,3.6118,3.0803,2.271
1.0634,0.8752,0.565,0.7048,,4.8482,1.6397,6.0321,3.2447
4.3631,2.8221,2.3875,2.2703,,1.2669,0.8791,6.2909,7.6174
4.3202,3.6037,1.4439,1.3839,,0.7038,0.6812,0.3392,9.7718
