2.50E-11 A,3.00E-10 A,4.50E-10 A,7.50E-10 A,2.00E-10 A,6.00E-10 A,9.00E-10 A,1.50E-10 A,5.00E-11 A
4.7173,7.1025,0.7903,2.8925,1.4807,2.9003,3.65E+00,2.18E+00,7.16E-01
6.22,7.535,2.2013,1.1113,,0.8875,1.40E+00,4.22E+00,1.40E+00
4.2221,0.4181,0.3176,4.1502,,0.9255,2.11E-01,2.94E-01,1.61E+00
8.4211,0.7403,1.2509,0.6379,,2.739,3.24E+00,4.84E+00,7.17E+00
5.9516,2.1476,1.9645,1.6349,,0.4554,1.17E+00,3.40E+00,4.186
2.0825,0.8995,4.8427,2.8178,,0.7321,0.1678,8.19E-01,0.7587
0.4358,2.625,3.2875,1.2346,,2.489,0.785,4.2725,3.0014
4.6559,2.9674,3.6838,0.2439,,3.0615,0.1686,2.6703,12.7881
0.4338,0.2153,0.8974,0.232,,0.2749,0.8269,2.6868,2.0947
,1.0383,1.0452,0.203,,0.3752,0.2855,5.3272,0.7286
,1.1981,0.3463,1.3838,,2.7629,0.6624,2.3893,0.6592
,2.9746,4.3443,1.9506,,0.9913,1.1313,3.5323,5.1278
,2.0722,0.3837,1.4153,,1.3191,1.81,6.5358,4.8322
,2.5829,1.6759,0.2167,,0.3933,0.7089,3.5326,6.4495
,1.4438,0.9272,7.2454,,2.2971,0.2955,1.8388,0.266
,1.9853,0.4167,1.376,,1.1864,1.6659,3.7029,3.0918
,1.5638,1.4878,2.3522,,2.3673,3.3528,4.6134,11.0642
,2.8945,2.79,1.576,,0.814,0.2857,4.6731,10.5276
,1.5071,1.8277,1.3349,,2.1897,3.5456,3.6891,7.7548
,0.3229,0.7392,2.2648,,,2.4592,1.4918,
,5.6599,1.6053,0.8448,,,2.8854,2.4328,
,1.1607,1.9031,0.5158,,,0.4888,5.3162,
,,3.7599,0.6898,,,0.3457,,
,,0.8319,1.1762,,,3.3263,,
,,1.0406,3.8361,,,1.3825,,
,,0.3739,0.6664,,,,,
,,1.5551,0.1591,,,,,
,,1.0356,0.6865,,,,,
,,5.553,3.3284,,,,,
,,0.8698,0.84,,,,,
,,2.3392,1.8959,,,,,
,,,2.0399,,,,,
,,,3.5883,,,,,
