Molecule			Adatom		
Sample bias (V)	(dI/dV)/(I/V)	Error	Sample bias (V)	(dI/dV)/(I/V)	Error
0.070585356	0.069242705	0.012357306	0.070452149	0.094724054	0.005099845
0.079568303	0.085238063	0.015186558	0.079711427	0.120313614	0.005069727
0.090952706	0.104830884	0.018980124	0.09097214	0.155888918	0.006093671
0.100882543	0.126604495	0.02367768	0.100859257	0.188876384	0.00682244
0.109907057	0.155505167	0.028361348	0.110219614	0.228177903	0.009741951
0.1209698	0.184930929	0.033548751	0.121216357	0.270432889	0.009129697
0.1312432	0.22527317	0.037947583	0.1312068	0.319090071	0.010108161
0.140356214	0.258641668	0.04225532	0.140567457	0.376896636	0.010046629
0.149972686	0.296065303	0.050341069	0.150874629	0.429720078	0.010683067
0.161487657	0.343735262	0.058645106	0.161486257	0.493531308	0.010360042
0.170956086	0.391781391	0.064379068	0.170748386	0.550007594	0.011227856
0.179888614	0.432384815	0.071503943	0.180522871	0.620038643	0.012804103
0.191735886	0.489093825	0.07968847	0.191731671	0.697144575	0.013028015
0.2012497	0.534347708	0.087011781	0.2011079	0.774810892	0.013982339
0.2104212	0.588055498	0.094139572	0.210349157	0.844327507	0.012758507
0.221716457	0.649951511	0.10167827	0.2217269	0.93309063	0.014575081
0.2314503	0.71090843	0.10728253	0.231318543	1.008794084	0.016883911
0.2406687	0.758883433	0.11449736	0.240603114	1.081089895	0.019649536
0.251901329	0.823164386	0.120167537	0.251887314	1.164657717	0.018404829
0.261772529	0.87668238	0.127253591	0.261649971	1.229437034	0.019612279
0.271118	0.93663881	0.131221582	0.271142771	1.300616328	0.019061944
0.281871957	1.002737506	0.133899143	0.282150571	1.377947289	0.022177677
0.292139443	1.060445405	0.133769036	0.292163914	1.450110746	0.021839255
0.3013641	1.104986695	0.136056548	0.301312657	1.506553063	0.021070644
0.311192557	1.156685392	0.140035502	0.311749229	1.572194504	0.019048459
0.322390686	1.201558398	0.140134452	0.322344943	1.621562959	0.020688811
0.331844757	1.241558079	0.141199677	0.3316253	1.666291501	0.020782434
0.340755829	1.266223753	0.14324365	0.340925114	1.700471255	0.023013694
0.352617757	1.294421852	0.147340622	0.352631829	1.737544674	0.023369807
0.362071257	1.319711955	0.149247807	0.361987014	1.752368671	0.025646709
0.371169057	1.333877305	0.148525584	0.371114414	1.769471164	0.028323571
0.382404814	1.355280262	0.14717692	0.382393571	1.790763586	0.026848849
0.392133443	1.369503787	0.147461687	0.3918024	1.801989585	0.027199501
